Code,Country,EDGAR Country Code,Income group,Lending category,Region,CSC Sector,CSC Subsector,Gas,Units,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
LBY,Libyan Arab Jamahiriya,LBY,Upper middle income,IBRD,Middle East & North Africa,Agriculture,AG - Livestock,CH4,MtCO2e,1.05515116,1.11260765,1.14631664,1.248962728,1.363936018,1.445362106,1.597489807,1.679698913,1.683859907,1.73690496,1.80525576,1.80948152,1.8112556,1.826469736,1.81734112,1.815433982,1.817955361,1.858241804,1.874097868,1.860775496,1.88256157,1.895987087,1.909586413
LBY,Libyan Arab Jamahiriya,LBY,Upper middle income,IBRD,Middle East & North Africa,Agriculture,AG - Livestock,N2O,MtCO2e,0.004871862,0.00492385,0.005097329,0.004950481,0.00504017,0.005077879,0.005180784,0.00620892,0.006271546,0.006588158,0.006776801,0.006946937,0.00703511,0.007073029,0.006940598,0.00682763,0.00689889,0.006983694,0.007075645,0.007215346,0.007383373,0.007494521,0.007607347
LBY,Libyan Arab Jamahiriya,LBY,Upper middle income,IBRD,Middle East & North Africa,Agriculture,AG - Crops,CH4,MtCO2e,0.000309151,0.000307837,0.000303925,0.00030554,0.000305477,0.000325601,0.000295787,0.000295685,0.000295231,0.000294543,0.000330428,0.000380092,0.00042405,0.000422383,0.000419188,0.000353974,0.000415989,0.000295917,0.000390669,0.000306928,0.000293038,0.00029299,0.000292944
LBY,Libyan Arab Jamahiriya,LBY,Upper middle income,IBRD,Middle East & North Africa,Agriculture,AG - Crops,CO2,MtCO2e,0.043895232,0.063380946,0.047666662,0.031428566,0.040857135,0.050285705,0.050285705,0.050285705,0.050285705,0.050285705,0.051333325,0.05054761,0.055942849,0.054685709,0.031428569,0.044628565,0.013409524,0.062909514,0.02650476,0.024409522,0.021895236,0.018396189,0.01587954
LBY,Libyan Arab Jamahiriya,LBY,Upper middle income,IBRD,Middle East & North Africa,Agriculture,AG - Crops,N2O,MtCO2e,0.557076848,0.620555758,0.587499745,0.593984687,0.665885843,0.711670606,0.76485476,0.795328063,0.796181857,0.817570788,0.842200829,0.843126733,0.845207869,0.836270343,0.770163783,0.815787378,0.71176854,0.889472085,0.774819073,0.76686483,0.771006558,0.762359624,0.759204238
LBY,Libyan Arab Jamahiriya,LBY,Upper middle income,IBRD,Middle East & North Africa,Energy,EN - Building,CH4,MtCO2e,0.056014544,0.072499476,0.073760705,0.075001948,0.075735621,0.076701596,0.075790015,0.076928628,0.078231279,0.080408758,0.08132497,0.078460942,0.082777364,0.082231938,0.081837663,0.081161292,0.082084103,0.083239603,0.084115643,0.085007385,0.085787923,0.087195866,0.087195866
LBY,Libyan Arab Jamahiriya,LBY,Upper middle income,IBRD,Middle East & North Africa,Energy,EN - Building,CO2,MtCO2e,2.4100548,2.479524317,2.538558247,2.588144929,2.4690891,2.457852654,1.646220173,1.60955957,1.753973962,2.072067092,2.118482582,1.17947718,2.102692432,1.874489285,1.606618986,1.162699508,1.187070453,1.23522589,1.182862174,1.130276592,1.063007811,1.29923177,1.29923177
LBY,Libyan Arab Jamahiriya,LBY,Upper middle income,IBRD,Middle East & North Africa,Energy,EN - Building,N2O,MtCO2e,0.008893631,0.009784176,0.009904485,0.010006023,0.010078288,0.010012181,0.009685338,0.009861366,0.010067191,0.010772277,0.010930547,0.009105507,0.011225052,0.010618077,0.010178871,0.009486692,0.009607876,0.009780036,0.009771349,0.009777776,0.009726396,0.00999703,0.00999703
LBY,Libyan Arab Jamahiriya,LBY,Upper middle income,IBRD,Middle East & North Africa,Energy,EN - Electricity/Heat,CH4,MtCO2e,0.012696455,0.012958038,0.014098406,0.01525773,0.017899136,0.022294931,0.025435078,0.024556653,0.025767068,0.0256298,0.02772441,0.023614654,0.03071365,0.033592865,0.031713461,0.033108292,0.030664261,0.031919809,0.032317693,0.033011631,0.02889214,0.036333971,0.03778537
LBY,Libyan Arab Jamahiriya,LBY,Upper middle income,IBRD,Middle East & North Africa,Energy,EN - Electricity/Heat,CO2,MtCO2e,15.76700386,15.96713518,17.18328137,18.71426908,17.41584942,20.6422067,22.05122554,20.63089433,21.45038331,22.08869614,22.47885874,17.69279464,23.08320668,24.77333088,23.76307682,24.51285332,19.89079901,21.23288186,21.9758697,22.1954622,18.60982945,23.29436609,24.07455095
LBY,Libyan Arab Jamahiriya,LBY,Upper middle income,IBRD,Middle East & North Africa,Energy,EN - Electricity/Heat,N2O,MtCO2e,0.025880918,0.026297591,0.028882103,0.031092885,0.028971636,0.03263492,0.032513792,0.029465297,0.030257483,0.032361881,0.030393256,0.021286764,0.027926472,0.029933954,0.02945674,0.029810912,0.018362172,0.021050377,0.022752715,0.022530223,0.017056383,0.021106031,0.021474567
LBY,Libyan Arab Jamahiriya,LBY,Upper middle income,IBRD,Middle East & North Africa,Energy,EN - Fugitive Emissions,CH4,MtCO2e,36.11333925,32.98309398,31.74534126,36.82617604,35.9915852,39.48325096,38.25381887,36.00313647,36.98995159,33.59541719,36.00370048,11.66064943,30.51335487,23.35008424,14.89999442,13.24334329,12.91127586,20.40799511,23.92041849,26.24713206,12.08827107,26.9877861,29.80143176
LBY,Libyan Arab Jamahiriya,LBY,Upper middle income,IBRD,Middle East & North Africa,Energy,EN - Fugitive Emissions,CO2,MtCO2e,12.55259344,11.384608,10.96951109,12.90103727,12.56489796,13.19651205,12.81167846,11.87218854,12.07516333,10.99631678,11.7838653,5.855432036,14.96377826,11.37399193,7.756923619,6.662492448,6.028620764,9.833051115,11.75588724,12.56718517,5.881702514,13.18548618,12.11842005
LBY,Libyan Arab Jamahiriya,LBY,Upper middle income,IBRD,Middle East & North Africa,Energy,EN - Fugitive Emissions,N2O,MtCO2e,0.036141855,0.034980565,0.033721063,0.040635639,0.038277588,0.04030334,0.03881397,0.035235289,0.036198095,0.032617868,0.035211044,0.020766479,0.049815453,0.036591805,0.026292485,0.023929428,0.021864892,0.034083946,0.040133166,0.043371779,0.02271223,0.04909118,0.045163618
LBY,Libyan Arab Jamahiriya,LBY,Upper middle income,IBRD,Middle East & North Africa,Energy,EN - Manufacturing/Construction,CH4,MtCO2e,0.002197944,0.002232972,0.002171232,0.002239348,0.002545175,0.002677929,0.001768385,0.001665367,0.00258174,0.003075509,0.002743675,0.001564895,0.002015446,0.003661207,0.00378882,0.002118942,0.002049642,0.001888888,0.002038057,0.001785447,0.001533819,0.001890826,0.001913789
LBY,Libyan Arab Jamahiriya,LBY,Upper middle income,IBRD,Middle East & North Africa,Energy,EN - Manufacturing/Construction,CO2,MtCO2e,3.197858476,3.289964433,3.177226691,3.160225782,3.714505155,3.816048853,2.735511571,2.762975829,3.648907363,4.22163192,3.491004439,2.503205535,2.532567049,4.682555443,4.846882172,2.76550864,2.458568973,2.119783919,2.248160476,2.055593156,1.81916243,2.255795694,2.301802198
LBY,Libyan Arab Jamahiriya,LBY,Upper middle income,IBRD,Middle East & North Africa,Energy,EN - Manufacturing/Construction,N2O,MtCO2e,0.003134844,0.00314882,0.0030808,0.003279495,0.003620072,0.00388953,0.002379944,0.002077907,0.003776123,0.004607772,0.004351242,0.002033952,0.003224186,0.005785294,0.005985968,0.003299767,0.003381191,0.003243657,0.003533946,0.003020638,0.002548342,0.003129934,0.003151666
LBY,Libyan Arab Jamahiriya,LBY,Upper middle income,IBRD,Middle East & North Africa,Energy,EN - Transportation,CH4,MtCO2e,0.325194593,0.342148725,0.351402308,0.366748774,0.417297693,0.470654468,0.412406637,0.345300741,0.407988085,0.397507327,0.383979682,0.313162098,0.397670065,0.414985961,0.396711822,0.295543384,0.221921697,0.18554611,0.16635539,0.169252642,0.180474056,0.22057883,0.220581308
LBY,Libyan Arab Jamahiriya,LBY,Upper middle income,IBRD,Middle East & North Africa,Energy,EN - Transportation,CO2,MtCO2e,11.1326091,11.49140938,11.71224245,11.88536256,12.38421425,12.85937972,12.95977971,11.78778124,13.45766522,15.60772099,18.25035909,13.61633344,16.88484594,17.68756105,19.55941214,15.1476038,18.27521317,17.2431823,16.79601122,17.09218397,16.71049333,20.42102248,20.43366073
LBY,Libyan Arab Jamahiriya,LBY,Upper middle income,IBRD,Middle East & North Africa,Energy,EN - Transportation,N2O,MtCO2e,0.096844544,0.098968979,0.097727238,0.092954437,0.095372325,0.094958827,0.101235949,0.092657719,0.102580048,0.128670932,0.163003623,0.115658353,0.13897075,0.143271687,0.169478408,0.119974216,0.182083275,0.171678723,0.16263917,0.165614401,0.153940907,0.188128371,0.188222172
LBY,Libyan Arab Jamahiriya,LBY,Upper middle income,IBRD,Middle East & North Africa,Industrial Processes,IN - Industrial Processes,CH4,MtCO2e,0.041877,0.041877,0.041877,0.041877,0.045591498,0.049306002,0.0530205,0.045780923,0.049305395,0.049068544,0.047073262,0.091935335,0.101974446,0.003465,0.003465,0.003465,0.003465,0.003465,0.003465,0.003465,0.003465,0.003465,0.003465
LBY,Libyan Arab Jamahiriya,LBY,Upper middle income,IBRD,Middle East & North Africa,Industrial Processes,IN - Industrial Processes,CO2,MtCO2e,4.086206842,3.934298984,4.161133114,4.358472409,4.45541187,4.526534644,5.050724516,4.856230682,4.533643418,5.069873648,5.329998895,3.291998216,3.095669393,2.063719702,4.182968163,3.402563268,3.204261844,3.293443332,3.195614565,2.753246976,2.368052454,2.494336669,2.499458284
LBY,Libyan Arab Jamahiriya,LBY,Upper middle income,IBRD,Middle East & North Africa,Industrial Processes,IN - Industrial Processes,HFC,MtCO2e,0.448596228,0.614547929,0.773810498,0.955875315,1.139910121,1.361501247,1.436545035,1.467300395,1.525879088,1.577331358,1.568053095,1.57887243,1.609973659,1.654718777,1.803662484,1.993170672,2.273979581,2.550954349,2.889931305,3.188851515,3.487771726,3.822761677,4.191500967
LBY,Libyan Arab Jamahiriya,LBY,Upper middle income,IBRD,Middle East & North Africa,Industrial Processes,IN - Industrial Processes,N2O,MtCO2e,0.25893622,0.269850419,0.279204113,0.287085008,0.278579176,0.292825746,0.303619082,0.285208187,0.29938475,0.335639685,0.362166117,0.259869308,0.326171226,0.34089406,0.357397901,0.315095409,0.324650242,0.326344149,0.33008191,0.33137398,0.291872136,0.357783379,0.360349064
LBY,Libyan Arab Jamahiriya,LBY,Upper middle income,IBRD,Middle East & North Africa,Industrial Processes,IN - Industrial Processes,SF6,MtCO2e,0.17531,0.192935,0.2115,0.2303,0.252625,0.275655,0.29328,0.30973,0.325945,0.34263,0.35955,0.376,0.392685,0.40937,0.42582,0.442505,0.458955,0.47564,0.492325,0.508931667,0.525538333,0.542740809,0.560506375
LBY,Libyan Arab Jamahiriya,LBY,Upper middle income,IBRD,Middle East & North Africa,Industrial Processes,IN - Industrial Processes,PFC,MtCO2e,0.347365446,0.347365446,0.347365446,0.347365446,0.347365446,0.347365446,0.347365446,0.347365446,0.347365446,0.347365446,0.347365446,0.347365446,0.347365446,0.347365446,0.347365446,0.347365446,0.347365446,0.347365446,0.347365446,0.347365446,0.347365446,0.347365446,0.347365446
LBY,Libyan Arab Jamahiriya,LBY,Upper middle income,IBRD,Middle East & North Africa,Industrial Processes,IN - Industrial Processes,OTHER_FCS,MtCO2e,0.071573304,0.071573304,0.071573304,0.071573304,0.071573304,0.071573304,0.071573304,0.071573304,0.071573304,0.071573304,0.071573304,0.071573304,0.071573304,0.071573304,0.071573304,0.071573304,0.071573304,0.071573304,0.071573304,0.071573304,0.071573304,0.071573304,0.071573304
LBY,Libyan Arab Jamahiriya,LBY,Upper middle income,IBRD,Middle East & North Africa,Waste,Waste - Solid Waste,CH4,MtCO2e,1.817940418,1.841388334,1.865916572,1.935272562,1.985345429,2.056210884,2.116350501,2.175110097,2.220290369,2.247500306,2.288799318,1.941923463,2.209701272,2.203811928,2.102590849,2.069349838,2.075486003,2.196357855,2.27331018,2.288731739,2.304257915,2.353253178,2.403294247
LBY,Libyan Arab Jamahiriya,LBY,Upper middle income,IBRD,Middle East & North Africa,Waste,Waste - Wastewater Treatment,CH4,MtCO2e,1.04854294,1.040266256,1.06271807,1.088887651,1.102679338,1.124859046,1.131654063,1.124541432,1.122616615,1.153416184,1.165736836,1.163379093,1.198606978,0.961766181,0.980152245,0.996280706,0.99371582,1.001124836,1.013121423,1.023665129,1.034970168,1.045100631,1.054417796
LBY,Libyan Arab Jamahiriya,LBY,Upper middle income,IBRD,Middle East & North Africa,Waste,Waste - Wastewater Treatment,N2O,MtCO2e,0.063421659,0.064426068,0.065917969,0.067536117,0.068890374,0.070533532,0.072204405,0.074194771,0.075425231,0.077910241,0.079657357,0.085565788,0.094339843,0.094719515,0.095259026,0.09521113,0.095996144,0.097343968,0.098382147,0.099885909,0.101289343,0.102504986,0.103735218
LBY,Libya,LBY,Upper middle income,IBRD,Middle East & North Africa,"Land Use, Land Use Change, and Forestry",LULUCF - Forest Land,CH4,MtCO2e,0.007853577,0.007853577,0.007853577,0.007853577,0.007853577,0.007853577,0.007853577,0.007853577,0.007853577,0.007853577,0.007853577,0.007853577,0.007853577,0.007853577,0.007853577,0.007853577,0.007853577,0.007853577,0.007853577,0.007853577,0.007853577,0.007853577,0.007853577
LBY,Libya,LBY,Upper middle income,IBRD,Middle East & North Africa,"Land Use, Land Use Change, and Forestry",LULUCF - Forest Land Removals,CO2,MtCO2e,8.93573617,8.93573617,8.93573617,8.93573617,8.93573617,8.93573617,8.93573617,8.93573617,8.93573617,8.93573617,8.93573617,8.93573617,8.93573617,8.93573617,8.93573617,8.93573617,8.93573617,8.93573617,8.93573617,8.93573617,8.93573617,8.93573617,8.93573617
LBY,Libya,LBY,Upper middle income,IBRD,Middle East & North Africa,"Land Use, Land Use Change, and Forestry",LULUCF - Forest Land Sequestration,CO2,MtCO2e,-0.653036222,-0.653036222,-0.653036222,-0.653036222,-0.653036222,-0.653036222,-0.653036222,-0.653036222,-0.653036222,-0.653036222,-0.653036222,-0.653036222,-0.653036222,-0.653036222,-0.653036222,-0.653036222,-0.653036222,-0.653036222,-0.653036222,-0.653036222,-0.653036222,-0.653036222,-0.653036222
LBY,Libya,LBY,Upper middle income,IBRD,Middle East & North Africa,"Land Use, Land Use Change, and Forestry",LULUCF - Deforestation,CH4,MtCO2e,0.033845122,0.033845122,0.033845122,0.033845122,0.033845122,0.033845122,0.033845122,0.033845122,0.033845122,0.033845122,0.033845122,0.033845122,0.033845122,0.033845122,0.033845122,0.033845122,0.033845122,0.033845122,0.033845122,0.033845122,0.033845122,0.033845122,0.033845122
LBY,Libya,LBY,Upper middle income,IBRD,Middle East & North Africa,"Land Use, Land Use Change, and Forestry",LULUCF - Deforestation,CO2,MtCO2e,0.286009463,0.286009463,0.286009463,0.286009463,0.286009463,0.286009463,0.286009463,0.286009463,0.286009463,0.286009463,0.286009463,0.286009463,0.286009463,0.286009463,0.286009463,0.286009463,0.286009463,0.286009463,0.286009463,0.286009463,0.286009463,0.286009463,0.286009463
LBY,Libya,LBY,Upper middle income,IBRD,Middle East & North Africa,"Land Use, Land Use Change, and Forestry",LULUCF - Organic Soil,CO2,MtCO2e,2.44810201,2.44810201,2.44810201,2.44810201,2.44810201,2.44810201,2.44810201,2.44810201,2.44810201,2.44810201,2.44810201,2.44810201,2.44810201,2.44810201,2.44810201,2.44810201,2.44810201,2.44810201,2.44810201,2.44810201,2.44810201,2.44810201,2.44810201
LBY,Libya,LBY,Upper middle income,IBRD,Middle East & North Africa,"Land Use, Land Use Change, and Forestry",LULUCF - Organic Soil,N2O,MtCO2e,19.72798255,19.72798255,19.72798255,19.72798255,19.72798255,19.72798255,19.72798255,19.72798255,19.72798255,19.72798255,19.72798255,19.72798255,19.72798255,19.72798255,19.72798255,19.72798255,19.72798255,19.72798255,19.72798255,19.72798255,19.72798255,19.72798255,19.72798255
LBY,Libya,LBY,Upper middle income,IBRD,Middle East & North Africa,"Land Use, Land Use Change, and Forestry",LULUCF - Other Land,CO2,MtCO2e,0.319939583,0.319939583,0.319939583,0.319939583,0.319939583,0.319939583,0.319939583,0.319939583,0.319939583,0.319939583,0.319939583,0.319939583,0.319939583,0.319939583,0.319939583,0.319939583,0.319939583,0.319939583,0.319939583,0.319939583,0.319939583,0.319939583,0.319939583
LBY,Libya,LBY,Upper middle income,IBRD,Middle East & North Africa,"Land Use, Land Use Change, and Forestry",LULUCF - HWP,CO2,MtCO2e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LBY,Libya,LBY,Upper middle income,IBRD,Middle East & North Africa,UNACCOUNTED,UNACCOUNTED,NF3,MtCO2e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LBY,Libya,LBY,Upper middle income,IBRD,Middle East & North Africa,CCSQ,CCSQ,CH4,MtCO2e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LBY,Libya,LBY,Upper middle income,IBRD,Middle East & North Africa,CCSQ,CCSQ,CO2,MtCO2e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LBY,Libya,LBY,Upper middle income,IBRD,Middle East & North Africa,CCSQ,CCSQ,N2O,MtCO2e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LBY,Libya,LBY,Upper middle income,IBRD,Middle East & North Africa,Energy,EN - Other,CH4,MtCO2e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LBY,Libya,LBY,Upper middle income,IBRD,Middle East & North Africa,Energy,EN - Other,CO2,MtCO2e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LBY,Libya,LBY,Upper middle income,IBRD,Middle East & North Africa,Energy,EN - Other,N2O,MtCO2e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0