Adaptation Measures File ID,Title,Category/Sector (IPCC Working Group),Type,Status,Start Year / End Year,Coverage (Areas/Assets/Entities),Target Greenhouse Gases,Prior Impact (MtCO2e/yr; Period; Method/Year),Subsequent Impact (if available; Short text + Method),Co-benefits + SDG Goal Tags,Financing/Costs (Range/Performance),Implementing Agency,Tracking Indicator and Frequency,Data Sources / Quality Assurance and Quality Control,SISEPUEDE Transformation Code(s),SISEPUEDE Transformation Name(s)
EN-OG-01,2030 Initiative: Reducing Flaring and Oil and Gas Emissions,1B2: Energy - Fugitive Emissions from Oil and Gas,Regulatory/Administrative,Under Implementation,2023 / 2030,"Oil and gas fields, refineries, and gas processing assets at the national level","CH4, CO2",To be determined previously; 2025-2035 factors; facilities; escalating factors for capturing flared gases and measuring gas emissions from bottom to top; international climate governance 2006/2019,"To be determined subsequently; MRV infrastructure established (counters, OGI/LDAR); Goal 7/Goal 8, Goal 13, Goal 8","Air quality; Safety; Reduction of flared gas waste and pressure; LDAR leak detection and measurement; Employment opportunities; Operational expenses; Public-private sector partnership + facilitated climate finance; SDG Goals 7, 8, 13",Capital expenditures; National initiative for reducing gas flaring 2030; Monitoring and reduction of gas flaring per barrel of oil; Rebates per oil barrel; Public sector + private sector + facilitated climate finance,National Oil Corporation (NOC) and affiliated oil companies,Volume of flared gas avoided (MCM/year); Quarterly/Annual issuance of 9 specific national reports; Mutual commitments with UN Libya program (IMEO/MARS),2017-2023 consolidated avoided inventory; Issuance of 9 specific contribution reports; National draft reports; Combating national flaring intensity; Adaptation actions from national convention files 2030 for limiting gas flaring and monitoring operations; Commitments with UN IMEO/MARS programs,TX:FGTV:INC_FLARE | TX:FGTV:DEC_LEAKS,Maximize flaring | Minimize leaks
EN-POW-02,Reducing Network Losses and Improving Distribution Efficiency,1A1a: Energy - Public Electricity and Heat Production,Technical/Technology,Under Implementation/Planned,2024 / 2035,Transmission and distribution network; Priority Phase One contracts,Carbon Dioxide (CO2),To be determined previously; 2026-2035; savings from higher levels through gas turbine utilization; efficiency and density of combined cycle gas turbines,To be determined subsequently; if available: SCADA system utilization and density of combined cycle gas turbines; SDG Goal 8,"Grid reliability; Electricity network quality; Reducing fuel losses; Transformers; Combined cycle gas turbines; Employment; Operational expenses; SDG Goals 9, 7, 13, 8",Capital expenditures; SCADA system; Government/shareholders financing + climate funds,General Electricity Company,Network loss % (kWh/hour); Annual losses reduction rebate,Annual loss reports; CO2/kWh efficiency percentage; Quality monitoring of comparative losses model,TX:ENTC:DEC_LOSSES,Reduce transmission losses
EN-RE-03,Adding Solar and Wind Renewable Energy (Non-Dispatchable) to Monitoring Locations (NSREEE/NESDB),1A1a: Energy - Renewable Energy Addition,Technical/Policy,Sustained Implementation,2024 / 2035,National grid; monitoring locations; independent power production companies; private sector,Carbon Dioxide (CO2),To be determined previously; 2026-2035 pathway; grid emission factor; energy ratio × grid efficiency,"To be determined subsequently; if available: SDG Goals 7, 9, 13, 3","Diversification of electricity mix; Renewable electricity and wind power; Employment; Operational maintenance; Independent Power Producer (IPP) agreements; Power Purchase Agreements (PPA); SDG Goals 7, 9, 13",REAOL; GECOL; Private energy companies; Renewable energy financing + private sector,Private energy companies,NDC emission reduction targets; Annual emission reduction monitoring; Quality control compared to PPA; SCADA measurement,NDC output reports; Annual emission reduction data; Quality: PPA vs SCADA comparison,TX:ENTC:TARGET_RENEWABLE_ELEC,95% of electricity is generated by renewables in 2050
TR-IM-04,Vehicle Inspection and Maintenance Program,1A3: Transport,Administrative,Planned,2026 / 2035,Urban centers and national fleet,Carbon Dioxide (CO2),To be determined previously; 2026-2035; basic fleet deterioration compared to I/M model; fuel consumption,"To be determined subsequently; if available: SDG Goals 11, 3, 13","Air quality improvement; Public health; I/M operations; SDG Goals 3, 11, 13",Local and international financial institutions; Transport Ministry; Municipalities,Ministry of Transport; Municipalities,100/average km per vehicle (liters); NDC measurement; Number of vehicles passing I/M inspection,2017-2023 consolidated; NDC output; Quality monitoring of vehicle operations annually,TX:TRNS:INC_EFFICIENCY_NON_ELECTRIC,Increase non-electric transportation energy efficiency
TR-PT-05,Urban Public Transit and Rapid Transport Corridors,1A3: Transport,Planning/Investment,Planned,2026 / 2035,Tripoli and Benghazi corridors,Carbon Dioxide (CO2),To be determined previously; mean passenger transport emission factor; ΔF gap × passenger-kilometers,"To be determined subsequently; if available: SDG Goals 10, 11","Time savings; Mobility integration; Public-private partnership; Climate and development funds; SDG Goals 10, 11",Climate and development funds; Municipalities,Municipalities,Passenger-km cargo × quarterly; NDC v9 quality transport monitoring,NDC v9 quality transport data,TX:TRNS:SHIFT_MODE_PASSENGER | TX:TRDE:DEC_DEMAND,Mode shift passenger vehicles to others | Reduce demand for transport
TR-EV-06,Fleet Electrification (EV/CNG) for Municipal Services,1A3: Transport,Planning/Investment,Planned,2025 / 2030,Municipal fleets (vehicles and monitoring systems),Carbon Dioxide (CO2),To be determined previously; EF × emission factor + additional electricity demand via EEF,"To be determined subsequently; if available: SDG Goals 3, 12","Air quality improvement; Noise reduction; Vehicle equipment savings; Reduced operating costs; Fuel savings; Electricity procurement; SDG Goals 3, 12",Public funding + private funding + grants; Municipalities; Ministry of Electricity; General Electricity Company,Municipalities; Ministry of Electricity,EV percentage of fleet; Annual km traveled; Vehicles inspected quarterly; EV battery km traveled,NDC v9 quality monitoring; EV fleet count; Km traveled data; Charging measurement quarterly,TX:TRNS:SHIFT_FUEL_LIGHT_DUTY | TX:TRNS:SHIFT_FUEL_MEDIUM_DUTY | TX:TRNS:INC_EFFICIENCY_ELECTRIC,Electrify light duty road transport | Fuel switch medium duty road transport | Increase electric transportation energy efficiency
IP-CEM-07,Replacing Clinker and Reducing Kiln Intensity (Cement Sector),IPPU: 2A1 Cement,Technical/Administrative,Under Implementation/Planned,2026 / 2035,Large cement factories,Carbon Dioxide (CO2),To be determined previously; reduce clinker ratio × production; WHR (Waste Heat Recovery); provision,"To be determined subsequently; if available: SDG Goals 9, 8, 12","Thermal management capacity; Solid waste management; Kiln efficiency; Operational expenditure savings; SDG Goals 9, 8, 12",Capital expenditures; Cement factories financing; Credit lines + guarantees; Ministry of Industry,Ministry of Industry; Cement factories,Clinker ratio; Cement kiln intensity semiannual; Quality monitoring annually,Annual cement output report; Quality: kiln intensity; fuel type; QA/QC annually,TX:IPPU:DEC_CLINKER,Reduce cement clinker
IP-HFC-08,Managing Refrigerant Transition Away from HFCs,IPPU: 2F HFCs,Advisory/Administrative,Planned,2026 / 2035,RAC (Refrigeration and Air Conditioning) service networks nationwide,HFCs (Hydrofluorocarbons),To be determined previously; unit size × recovery rate; total installed units × library of refrigerant types by kilogram,"To be determined subsequently; if available: SDG Goals 3, 8, 12","Safety improvement; Public health; Recovery responsibility enforcement; Equipment maintenance + grants; SDG Goals 3, 8, 12",Capital expenditures; Ministry of Environment; Grants,Ministry of Environment,HFCs inventory stored; Number of registered technicians; Recovery rate (kg); Leakage rate annually,Quality assurance register; Registered technicians log; Reduced leakage (kg); Recovery rate annually,TX:IPPU:DEC_HFCS,Reduce use of HFCs
AF-TRE-09,Tree Planting and Reforestation: National Program (+100 million trees / 10 million per May),AFOLU: Land Use (Reforestation),Investment/Programmatic,Implementation/Planned,2025 / 2035,+1000 hectares and 33 hectares; Priority biological areas and urban belts (reforestation zones),Carbon Dioxide (CO2 sequestration),To be determined previously; ton CO2; mean CO2 sequestration × hectare; mean after investment,"To be determined subsequently; if available: SDG Goals 13, 15, 8","Combating desertification; Local climate regulation; Rural livelihoods; African Development Bank; Green climate finance; SDG Goals 13, 15, 8",Capital expenditure; Agricultural Fund; African Development Bank; Climate Finance; Green Mitigation Fund,Prime Minister's Office; Ministry of Agriculture,Hectares planted annually; NDC v9 quality; Survival rate; Remote sensing (RS) monitoring,Quality data stored; Monitoring quality records; Technical verification semiannually,TX:LNDU:INC_REFORESTATION,Increase Reforestation
AF-AGR-10,Livestock and Fertilizer Wealth Management,AFOLU: 3A/3C,Advisory/Administrative,Planned,2026 / 2035,Pastures and irrigated agriculture,"CH4, N2O",To be determined previously; mass surveys; emission factors per head of livestock; sample inputs,"To be determined subsequently; if available: SDG Goals 2, 12, 13","Soil health improvement; Soil quality; Agricultural productivity; SDG Goals 2, 12, 13",CAPEX; OPEX; Loans/consultancies/grants,Ministry of Agriculture,NDC product quality per product type annually; Quality samples: operational verification monitoring,NDC v9 quality data; Samples monitoring; Operational verification,TX:LVST:DEC_ENTERIC_FERMENTATION | TX:LSMM:INC_MANAGEMENT_CATTLE_PIGS | TX:SOIL:DEC_N_APPLIED,Reduce enteric fermentation | Improve manure management for cattle and pigs | Improve fertilizer application
WS-LFG-11,Rehabilitating 3 Landfill Sites Using Natural Gas Combustion,4A: Waste - Solid Waste Disposal,Environmental/Administrative,Planned,2026 / 2032,Tripoli and Benghazi landfills,Methane (CH4),To be determined previously; absorption from natural capture rate; first-stage gas flow capture rate,"To be determined subsequently; if available: SDG Goals 3, 11, 12","Public health improvement; Odor reduction; Local livelihoods; Employment generation; LFG wells activation; SDG Goals 3, 11, 12",LFG wells activation costs; Operating financing; Public-private partnership sharing; Public + private + climate funds,Local Government; Municipalities,Nm3/LFG activation; t CH4 quarterly; NDC v9 quality standard measurement,NDC v9 quality standard; Measurement monitoring data,TX:WASO:INC_CAPTURE_BIOGAS | TX:WASO:INC_ENERGY_FROM_BIOGAS,Increase biogas capture | Biogas for energy production
WS-LFG-12,3 New Health Waste Facilities Equipped with LFG-to-Power Technology,4A: Waste - Solid Waste Disposal,Environmental/Administrative,Planned,2026 / 2035,"Tripoli, Benghazi, and new Misrata","CH4, CO2",To be determined previously; absorption × stabilization; EF × network efficiency,"To be determined subsequently; if available: SDG Goals 7, 8","Energy recovery; Employment generation; LFG gas utilization; SDG Goals 7, 8",Operating financing; Energy procurement agreements,Local Government; Municipalities; Ministry projects,MW hours of electricity generation; CH4 annual; tonnes used quarterly; NDC v9 quality annual monitoring,NDC v9 quality; Annual monitoring data,TX:WASO:INC_ENERGY_FROM_BIOGAS | TX:WASO:INC_ENERGY_FROM_INCINERATION,Biogas for energy production | Incineration for energy production
WS-DIV-13,Waste Diversion: Converting Waste to 3 Compost Facilities (4¼ Organic Waste + 3 MBT),4A: Waste - Solid Waste Disposal / Administrative,Environmental/Administrative,Planned,2026 / 2032,"Tripoli, Benghazi, and Misrata facilities",Methane (CH4),To be determined previously; × converted load; factors of waste diversion from landfill,"To be determined subsequently; if available: SDG Goals 8, 12, 11",Odor reduction; Soil quality improvement; Leachate elimination; Drainage; Operating cost savings + equivalent exchange value,Capital expenditures; Municipalities; +Operating expenditures; Drawings/fees/operating; Credit facilities equivalent exchange,Municipalities,Organic tonnes converted; Organic % conversion; Quarterly quality operations; Weight bridge verification annually,NDC v9 quality; Organic tonnes monitoring; Quarterly operations; Weight bridge verification,TX:WASO:INC_ANAEROBIC_AND_COMPOST | TX:WASO:DEC_CONSUMER_FOOD_WASTE,Increase composting and biogas | Consumer food waste reduction
WW-TRT-14,Rehabilitating Municipal Wastewater Treatment and Aerobic Treatment Plants,4B: Wastewater - Standard/Administrative,Environmental/Administrative,Planned,2026 / 2032,Municipal wastewater treatment plants at the national level,Methane (CH4),To be determined previously; 2030 initiative gas emission factors; reduction and transfer according to type of treatment,"To be determined subsequently; if available: SDG Goals 3, 6","Public health improvement; Water quality; Factory equipment counters; Laboratory tests; SDG Goals 3, 6",Capital expenditure; Water rehabilitation; Raw materials; Operating expenditures; Financial institutions + Municipalities + international financial institutions,Water facilities; Municipalities,Wastewater treatment plant quality; Biological oxygen demand protocols; Aerobic systems quality assurance; Quarterly biological demand,NDC v9 quality; Water treatment protocols; Aerobic systems quality monitoring,TX:WALI:INC_TREATMENT_URBAN | TX:TRWW:INC_CAPTURE_BIOGAS,Improved urban wastewater treatment | Increase biogas capture
WS-DIV-13,Waste Conversion: 3 Compost Facilities (4¼ of Organic Waste + 3 MBT),4A: Waste - Solid Waste Disposal,Environmental/Administrative,Planned,2026 / 2032,"Tripoli, Benghazi, and Misrata facilities",Methane (CH4),To be determined previously; × converted load × landfill diversion factors; factors of reducing landfill decomposition,"To be determined subsequently; if available: SDG Goals 8, 12, 11","Employment generation; Soil quality improvement; Bridge weight monitoring; SDG Goals 8, 12, 11",Capital expenditures; Municipalities; Operational formulas; Drawings/designs/fees; Municipal Force Account equivalence,Municipalities,Converted tonnes %; Organic % quarterly; NDC v9 quality monitoring; Bridge weight verification,NDC v9 quality; Organic weight operations monitoring quarterly,TX:WASO:INC_ANAEROBIC_AND_COMPOST | TX:WASO:DEC_CONSUMER_FOOD_WASTE,Increase composting and biogas | Consumer food waste reduction
WW-TRT-14,Rehabilitation of Municipal Wastewater Treatment and Aerobic Treatment,Water: Wastewater Treatment,Environmental/Administrative,Planned,2026 / 2032,Municipal wastewater treatment plants nationwide,Methane (CH4),To be determined previously; gas emission factors; 2030 initiative for reducing flaring and the transfer per gas type,"To be determined subsequently; if available: SDG Goals 3, 6","Public health improvement; Water quality improvement; Laboratory and processing equipment; SDG Goals 3, 6",Capital expenditures; Rehabilitation of water; Ministry of Municipalities; Raw materials; Operational expenditure; Municipal financial + international financial institutions,Water facilities; Municipalities,Wastewater treatment plant meters; Quality: sanitation protocols; Biological treatment quality; Biological demand removal; Annual quality monitoring,NDC v9 quality; Treatment protocols; Biological quality assurance; Quality monitoring of treatment type annually,TX:WALI:INC_TREATMENT_URBAN | TX:TRWW:INC_CAPTURE_BIOGAS,Improved urban wastewater treatment | Increase biogas capture
