subsector,transformation_code,transformation_name
AGRC,TX:AGRC:DEC_CH4_RICE,Improve rice management
AGRC,TX:AGRC:DEC_EXPORTS,Decrease Exports
AGRC,TX:AGRC:DEC_LOSSES_SUPPLY_CHAIN,Reduce supply chain losses
AGRC,TX:AGRC:INC_CONSERVATION_AGRICULTURE,Expand conservation agriculture
AGRC,TX:AGRC:INC_PRODUCTIVITY,Improve crop productivity
CCSQ,TX:CCSQ:INC_CAPTURE,Increase direct air capture
ENTC,TX:ENTC:DEC_LOSSES,Reduce transmission losses
ENTC,TX:ENTC:TARGET_CLEAN_HYDROGEN,Clean hydrogen
ENTC,TX:ENTC:TARGET_RENEWABLE_ELEC,95% of electricity is generated by renewables in 2050
FGTV,TX:FGTV:DEC_LEAKS,Minimize leaks
FGTV,TX:FGTV:INC_FLARE,Maximize flaring
INEN,TX:INEN:INC_EFFICIENCY_ENERGY,Maximize industrial energy efficiency
INEN,TX:INEN:INC_EFFICIENCY_PRODUCTION,Maximize industrial production efficiency
INEN,TX:INEN:SHIFT_FUEL_HEAT,Fuel switch high- and low-temp thermal processes. 
IPPU,TX:IPPU:DEC_CLINKER,Reduce cement clinker
IPPU,TX:IPPU:DEC_DEMAND,Demand management
IPPU,TX:IPPU:DEC_HFCS,Reduce use of HFCs
IPPU,TX:IPPU:DEC_N2O,Reduce Nitrous Oxide emissions
IPPU,TX:IPPU:DEC_OTHER_FCS,Reduce other fluorinated compounds
IPPU,TX:IPPU:DEC_PFCS,Reduce use of PFCs
LNDU,TX:LNDU:DEC_DEFORESTATION,Stop deforestation
LNDU,TX:LNDU:DEC_SOC_LOSS_PASTURES,Expand sustainable grazing practices
LNDU,TX:LNDU:INC_REFORESTATION,Increase Reforestation
LNDU,TX:LNDU:INC_SILVOPASTURE,Expand silvopasture
LSMM,TX:LSMM:INC_CAPTURE_BIOGAS,Increase biogas capture at anaerobic decomposition facilities
LSMM,TX:LSMM:INC_MANAGEMENT_CATTLE_PIGS,Improve manure management for cattle and pigs
LSMM,TX:LSMM:INC_MANAGEMENT_OTHER,Improve manure management for other animals
LSMM,TX:LSMM:INC_MANAGEMENT_POULTRY,Improve manure management for poultry
LVST,TX:LVST:DEC_ENTERIC_FERMENTATION,Reduce enteric fermentation
LVST,TX:LVST:DEC_EXPORTS,Decrease exports
LVST,TX:LVST:INC_PRODUCTIVITY,Increase livestock productivity
PFLO,TX:PFLO:INC_HEALTHIER_DIETS,Change diets
PFLO,TX:PFLO:INC_IND_CCS,Industrial carbon capture and sequestration
SCOE,TX:SCOE:DEC_DEMAND_HEAT,Reduce end-use demand for heat energy by improving building shell
SCOE,TX:SCOE:INC_EFFICIENCY_APPLIANCE,Increase appliance efficiency
SCOE,TX:SCOE:SHIFT_FUEL_HEAT,"Switch to electricity for heat using heat pumps, electric stoves, etc."
SOIL,TX:SOIL:DEC_LIME_APPLIED,Improve lime application
SOIL,TX:SOIL:DEC_N_APPLIED,Improve fertilizer application
TRDE,TX:TRDE:DEC_DEMAND,Reduce demand for transport
TRNS,TX:TRNS:INC_EFFICIENCY_ELECTRIC,Increase electric transportation energy efficiency
TRNS,TX:TRNS:INC_EFFICIENCY_NON_ELECTRIC,Increase non-electric transportation energy efficiency
TRNS,TX:TRNS:INC_OCCUPANCY_LIGHT_DUTY,Increase occupancy for private vehicles
TRNS,TX:TRNS:SHIFT_FUEL_LIGHT_DUTY,Electrify light duty road transport
TRNS,TX:TRNS:SHIFT_FUEL_MARITIME,Fuel switch maritime
TRNS,TX:TRNS:SHIFT_FUEL_MEDIUM_DUTY,Fuel switch medium duty road transport
TRNS,TX:TRNS:SHIFT_FUEL_RAIL,Electrify rail
TRNS,TX:TRNS:SHIFT_MODE_FREIGHT,Mode shift freight
TRNS,TX:TRNS:SHIFT_MODE_PASSENGER,Mode shift passenger vehicles to others
TRNS,TX:TRNS:SHIFT_MODE_REGIONAL,Mode shift regional passenger travel
TRWW,TX:TRWW:INC_CAPTURE_BIOGAS,Increase biogas capture
TRWW,TX:TRWW:INC_COMPLIANCE_SEPTIC,Increase septic compliance
WALI,TX:WALI:INC_TREATMENT_INDUSTRIAL,Improved industrial wastewater treatment
WALI,TX:WALI:INC_TREATMENT_RURAL,Improved rural wastewater treatment
WALI,TX:WALI:INC_TREATMENT_URBAN,Improved urban wastewater treatment
WASO,TX:WASO:DEC_CONSUMER_FOOD_WASTE,Consumer food waste reduction
WASO,TX:WASO:INC_ANAEROBIC_AND_COMPOST,Increase composting and biogas
WASO,TX:WASO:INC_CAPTURE_BIOGAS,Increase biogas capture
WASO,TX:WASO:INC_ENERGY_FROM_BIOGAS,Biogas for energy production
WASO,TX:WASO:INC_ENERGY_FROM_INCINERATION,Incineration for energy production
WASO,TX:WASO:INC_LANDFILLING,Increase landfilling
WASO,TX:WASO:INC_RECYCLING,Increase recycling