strategy_id,strategy_code,strategy,description,transformation_specification,baseline_strategy_id
0,BASE,Strategy TX:BASE,,TX:BASE,1.0
1000,AGRC:DEC_CH4_RICE,Singleton - Default Value - AGRC: Improve rice management,,TX:AGRC:DEC_CH4_RICE,0.0
1001,AGRC:DEC_EXPORTS,Singleton - Default Value - AGRC: Decrease Exports,,TX:AGRC:DEC_EXPORTS,0.0
1002,AGRC:DEC_LOSSES_SUPPLY_CHAIN,Singleton - Default Value - AGRC: Reduce supply chain losses,,TX:AGRC:DEC_LOSSES_SUPPLY_CHAIN,0.0
1003,AGRC:INC_CONSERVATION_AGRICULTURE,Singleton - Default Value - AGRC: Expand conservation agriculture,,TX:AGRC:INC_CONSERVATION_AGRICULTURE,0.0
1004,AGRC:INC_PRODUCTIVITY,Singleton - Default Value - AGRC: Improve crop productivity,,TX:AGRC:INC_PRODUCTIVITY,0.0
1005,FRST:INCREASE_SEQUESTRATION,Singleton - Default Value - FRST: Increase Sequestration,,TX:FRST:INCREASE_SEQUESTRATION,0.0
1006,LNDU:BOUND_CLASSES,Singleton - Default Value - LNDU: Bound Classes,,TX:LNDU:BOUND_CLASSES,0.0
1007,LNDU:DEC_CLASS_LOSS,Singleton - Default Value - LNDU: Decrease loss of land use classes,,TX:LNDU:DEC_CLASS_LOSS,0.0
1008,LNDU:DEC_DEFORESTATION,Singleton - Default Value - LNDU: Stop deforestation,,TX:LNDU:DEC_DEFORESTATION,0.0
1009,LNDU:DEC_SOC_LOSS_PASTURES,Singleton - Default Value - LNDU: Expand sustainable grazing practices,,TX:LNDU:DEC_SOC_LOSS_PASTURES,0.0
1010,LNDU:INC_REFORESTATION,Singleton - Default Value - LNDU: Increase Reforestation,,TX:LNDU:INC_REFORESTATION,0.0
1011,LNDU:INC_SILVOPASTURE,Singleton - Default Value - LNDU: Expand silvopasture,,TX:LNDU:INC_SILVOPASTURE,0.0
1012,LNDU:PLUR,Singleton - Default Value - LNDU: Partial land use reallocation,,TX:LNDU:PLUR,0.0
1013,LSMM:INC_CAPTURE_BIOGAS,Singleton - Default Value - LSMM: Increase biogas capture at anaerobic decomposition facilities,,TX:LSMM:INC_CAPTURE_BIOGAS,0.0
1014,LSMM:INC_MANAGEMENT_CATTLE_PIGS,Singleton - Default Value - LSMM: Improve manure management for cattle and pigs,,TX:LSMM:INC_MANAGEMENT_CATTLE_PIGS,0.0
1015,LSMM:INC_MANAGEMENT_OTHER,Singleton - Default Value - LSMM: Improve manure management for other animals,,TX:LSMM:INC_MANAGEMENT_OTHER,0.0
1016,LSMM:INC_MANAGEMENT_POULTRY,Singleton - Default Value - LSMM: Improve manure management for poultry,,TX:LSMM:INC_MANAGEMENT_POULTRY,0.0
1017,LVST:DEC_ENTERIC_FERMENTATION,Singleton - Default Value - LVST: Reduce enteric fermentation,,TX:LVST:DEC_ENTERIC_FERMENTATION,0.0
1018,LVST:DEC_EXPORTS,Singleton - Default Value - LVST: Decrease exports,,TX:LVST:DEC_EXPORTS,0.0
1019,LVST:INC_PRODUCTIVITY,Singleton - Default Value - LVST: Increase livestock productivity,,TX:LVST:INC_PRODUCTIVITY,0.0
1020,SOIL:DEC_LIME_APPLIED,Singleton - Default Value - SOIL: Improve lime application,,TX:SOIL:DEC_LIME_APPLIED,0.0
1021,SOIL:DEC_N_APPLIED,Singleton - Default Value - SOIL: Improve fertilizer application,,TX:SOIL:DEC_N_APPLIED,0.0
1022,AF:ALL,Sectoral Composite - AFOLU,All (unique by transformer) AFOLU transformations,TX:AGRC:DEC_CH4_RICE|TX:AGRC:DEC_EXPORTS|TX:AGRC:DEC_LOSSES_SUPPLY_CHAIN|TX:AGRC:INC_CONSERVATION_AGRICULTURE|TX:AGRC:INC_PRODUCTIVITY|TX:FRST:INCREASE_SEQUESTRATION|TX:LNDU:BOUND_CLASSES|TX:LNDU:DEC_CLASS_LOSS|TX:LNDU:DEC_DEFORESTATION|TX:LNDU:DEC_SOC_LOSS_PASTURES|TX:LNDU:INC_REFORESTATION|TX:LNDU:INC_SILVOPASTURE|TX:LNDU:PLUR|TX:LSMM:INC_CAPTURE_BIOGAS|TX:LSMM:INC_MANAGEMENT_CATTLE_PIGS|TX:LSMM:INC_MANAGEMENT_OTHER|TX:LSMM:INC_MANAGEMENT_POULTRY|TX:LVST:DEC_ENTERIC_FERMENTATION|TX:LVST:DEC_EXPORTS|TX:LVST:INC_PRODUCTIVITY|TX:SOIL:DEC_LIME_APPLIED|TX:SOIL:DEC_N_APPLIED,0.0
2000,TRWW:INC_CAPTURE_BIOGAS,Singleton - Default Value - TRWW: Increase biogas capture,,TX:TRWW:INC_CAPTURE_BIOGAS,0.0
2001,TRWW:INC_COMPLIANCE_SEPTIC,Singleton - Default Value - TRWW: Increase septic compliance,,TX:TRWW:INC_COMPLIANCE_SEPTIC,0.0
2002,WALI:INC_TREATMENT_INDUSTRIAL,Singleton - Default Value - WALI: Improved industrial wastewater treatment,,TX:WALI:INC_TREATMENT_INDUSTRIAL,0.0
2003,WALI:INC_TREATMENT_RURAL,Singleton - Default Value - WALI: Improved rural wastewater treatment,,TX:WALI:INC_TREATMENT_RURAL,0.0
2004,WALI:INC_TREATMENT_URBAN,Singleton - Default Value - WALI: Improved urban wastewater treatment,,TX:WALI:INC_TREATMENT_URBAN,0.0
2005,WASO:DEC_CONSUMER_FOOD_WASTE,Singleton - Default Value - WASO: Consumer food waste reduction,,TX:WASO:DEC_CONSUMER_FOOD_WASTE,0.0
2006,WASO:INC_ANAEROBIC_AND_COMPOST,Singleton - Default Value - WASO: Increase composting and biogas,,TX:WASO:INC_ANAEROBIC_AND_COMPOST,0.0
2007,WASO:INC_CAPTURE_BIOGAS,Singleton - Default Value - WASO: Increase biogas capture,,TX:WASO:INC_CAPTURE_BIOGAS,0.0
2008,WASO:INC_ENERGY_FROM_BIOGAS,Singleton - Default Value - WASO: Biogas for energy production,,TX:WASO:INC_ENERGY_FROM_BIOGAS,0.0
2009,WASO:INC_ENERGY_FROM_INCINERATION,Singleton - Default Value - WASO: Incineration for energy production,,TX:WASO:INC_ENERGY_FROM_INCINERATION,0.0
2010,WASO:INC_LANDFILLING,Singleton - Default Value - WASO: Increase landfilling,,TX:WASO:INC_LANDFILLING,0.0
2011,WASO:INC_RECYCLING,Singleton - Default Value - WASO: Increase recycling,,TX:WASO:INC_RECYCLING,0.0
2012,CE:ALL,Sectoral Composite - Circular Economy,All (unique by transformer) Circular Economy transformations,TX:TRWW:INC_CAPTURE_BIOGAS|TX:TRWW:INC_COMPLIANCE_SEPTIC|TX:WALI:INC_TREATMENT_INDUSTRIAL|TX:WALI:INC_TREATMENT_RURAL|TX:WALI:INC_TREATMENT_URBAN|TX:WASO:DEC_CONSUMER_FOOD_WASTE|TX:WASO:INC_ANAEROBIC_AND_COMPOST|TX:WASO:INC_CAPTURE_BIOGAS|TX:WASO:INC_ENERGY_FROM_BIOGAS|TX:WASO:INC_ENERGY_FROM_INCINERATION|TX:WASO:INC_LANDFILLING|TX:WASO:INC_RECYCLING,0.0
3000,CCSQ:INC_CAPTURE,Singleton - Default Value - CCSQ: Increase direct air capture,,TX:CCSQ:INC_CAPTURE,0.0
3001,ENFU:ADJ_EXPORTS,Singleton - Default Value - ENFU: Adjust Exports,,TX:ENFU:ADJ_EXPORTS,0.0
3002,ENTC:DEC_LOSSES,Singleton - Default Value - ENTC: Reduce transmission losses,,TX:ENTC:DEC_LOSSES,0.0
3003,ENTC:LEAST_COST_SOLUTION,Singleton - Default Value - ENTC: Least cost solution,,TX:ENTC:LEAST_COST_SOLUTION,0.0
3004,ENTC:TARGET_CLEAN_HYDROGEN,Singleton - Default Value - ENTC: Clean hydrogen,,TX:ENTC:TARGET_CLEAN_HYDROGEN,0.0
3005,ENTC:TARGET_RENEWABLE_ELEC,Singleton - Default Value - ENTC: 95% of electricity is generated by renewables in final time period,,TX:ENTC:TARGET_RENEWABLE_ELEC,0.0
3006,FGTV:DEC_LEAKS,Singleton - Default Value - FGTV: Minimize leaks,,TX:FGTV:DEC_LEAKS,0.0
3007,FGTV:INC_FLARE,Singleton - Default Value - FGTV: Maximize flaring,,TX:FGTV:INC_FLARE,0.0
3008,INEN:INC_EFFICIENCY_ENERGY,Singleton - Default Value - INEN: Maximize industrial energy efficiency,,TX:INEN:INC_EFFICIENCY_ENERGY,0.0
3009,INEN:INC_EFFICIENCY_PRODUCTION,Singleton - Default Value - INEN: Maximize industrial production efficiency,,TX:INEN:INC_EFFICIENCY_PRODUCTION,0.0
3010,INEN:SHIFT_FUEL_HEAT,Singleton - Default Value - INEN: Fuel switch high- and low-temp thermal processes,,TX:INEN:SHIFT_FUEL_HEAT,0.0
3011,SCOE:DEC_DEMAND_HEAT,Singleton - Default Value - SCOE: Reduce end-use demand for heat energy by improving building shell,,TX:SCOE:DEC_DEMAND_HEAT,0.0
3012,SCOE:INC_EFFICIENCY_APPLIANCE,Singleton - Default Value - SCOE: Increase appliance efficiency,,TX:SCOE:INC_EFFICIENCY_APPLIANCE,0.0
3013,SCOE:INC_EFFICIENCY_HEAT,Singleton - Default Value - SCOE: Increase heat efficiency,,TX:SCOE:INC_EFFICIENCY_HEAT,0.0
3014,SCOE:SHIFT_FUEL_HEAT,"Singleton - Default Value - SCOE: Switch to electricity for heat using heat pumps, electric stoves, etc.",,TX:SCOE:SHIFT_FUEL_HEAT,0.0
3015,TRDE:DEC_DEMAND,Singleton - Default Value - TRDE: Reduce demand for transport,,TX:TRDE:DEC_DEMAND,0.0
3016,TRNS:INC_EFFICIENCY_ELECTRIC,Singleton - Default Value - TRNS: Increase electric transportation energy efficiency,,TX:TRNS:INC_EFFICIENCY_ELECTRIC,0.0
3017,TRNS:INC_EFFICIENCY_NON_ELECTRIC,Singleton - Default Value - TRNS: Increase non-electric transportation energy efficiency,,TX:TRNS:INC_EFFICIENCY_NON_ELECTRIC,0.0
3018,TRNS:INC_OCCUPANCY_LIGHT_DUTY,Singleton - Default Value - TRNS: Increase occupancy for private vehicles,,TX:TRNS:INC_OCCUPANCY_LIGHT_DUTY,0.0
3019,TRNS:SHIFT_FUEL_LIGHT_DUTY,Singleton - Default Value - TRNS: Electrify light duty road transport,,TX:TRNS:SHIFT_FUEL_LIGHT_DUTY,0.0
3020,TRNS:SHIFT_FUEL_MARITIME,Singleton - Default Value - TRNS: Fuel switch maritime,,TX:TRNS:SHIFT_FUEL_MARITIME,0.0
3021,TRNS:SHIFT_FUEL_MEDIUM_DUTY,Singleton - Default Value - TRNS: Fuel switch medium duty road transport,,TX:TRNS:SHIFT_FUEL_MEDIUM_DUTY,0.0
3022,TRNS:SHIFT_FUEL_RAIL,Singleton - Default Value - TRNS: Electrify rail,,TX:TRNS:SHIFT_FUEL_RAIL,0.0
3023,TRNS:SHIFT_MODE_FREIGHT,Singleton - Default Value - TRNS: Mode shift freight,,TX:TRNS:SHIFT_MODE_FREIGHT,0.0
3024,TRNS:SHIFT_MODE_PASSENGER,Singleton - Default Value - TRNS: Mode shift passenger vehicles to others,,TX:TRNS:SHIFT_MODE_PASSENGER,0.0
3025,TRNS:SHIFT_MODE_REGIONAL,Singleton - Default Value - TRNS: Mode shift regional passenger travel,,TX:TRNS:SHIFT_MODE_REGIONAL,0.0
3026,EN:ALL,Sectoral Composite - Energy,All (unique by transformer) Energy transformations,TX:CCSQ:INC_CAPTURE|TX:ENFU:ADJ_EXPORTS|TX:ENTC:DEC_LOSSES|TX:ENTC:LEAST_COST_SOLUTION|TX:ENTC:TARGET_CLEAN_HYDROGEN|TX:ENTC:TARGET_RENEWABLE_ELEC|TX:FGTV:DEC_LEAKS|TX:FGTV:INC_FLARE|TX:INEN:INC_EFFICIENCY_ENERGY|TX:INEN:INC_EFFICIENCY_PRODUCTION|TX:INEN:SHIFT_FUEL_HEAT|TX:SCOE:DEC_DEMAND_HEAT|TX:SCOE:INC_EFFICIENCY_APPLIANCE|TX:SCOE:INC_EFFICIENCY_HEAT|TX:SCOE:SHIFT_FUEL_HEAT|TX:TRDE:DEC_DEMAND|TX:TRNS:INC_EFFICIENCY_ELECTRIC|TX:TRNS:INC_EFFICIENCY_NON_ELECTRIC|TX:TRNS:INC_OCCUPANCY_LIGHT_DUTY|TX:TRNS:SHIFT_FUEL_LIGHT_DUTY|TX:TRNS:SHIFT_FUEL_MARITIME|TX:TRNS:SHIFT_FUEL_MEDIUM_DUTY|TX:TRNS:SHIFT_FUEL_RAIL|TX:TRNS:SHIFT_MODE_FREIGHT|TX:TRNS:SHIFT_MODE_PASSENGER|TX:TRNS:SHIFT_MODE_REGIONAL,0.0
4000,IPPU:DEC_CLINKER,Singleton - Default Value - IPPU: Reduce cement clinker,,TX:IPPU:DEC_CLINKER,0.0
4001,IPPU:DEC_DEMAND,Singleton - Default Value - IPPU: Demand management,,TX:IPPU:DEC_DEMAND,0.0
4002,IPPU:DEC_HFCS,Singleton - Default Value - IPPU: Reduce use of HFCs,,TX:IPPU:DEC_HFCS,0.0
4003,IPPU:DEC_N2O,Singleton - Default Value - IPPU: Reduce Nitrous Oxide emissions,,TX:IPPU:DEC_N2O,0.0
4004,IPPU:DEC_OTHER_FCS,Singleton - Default Value - IPPU: Reduce other fluorinated compounds,,TX:IPPU:DEC_OTHER_FCS,0.0
4005,IPPU:DEC_PFCS,Singleton - Default Value - IPPU: Reduce use of PFCs,,TX:IPPU:DEC_PFCS,0.0
4006,IP:ALL,Sectoral Composite - IPPU,All (unique by transformer) IPPU transformations,TX:IPPU:DEC_CLINKER|TX:IPPU:DEC_DEMAND|TX:IPPU:DEC_HFCS|TX:IPPU:DEC_N2O|TX:IPPU:DEC_OTHER_FCS|TX:IPPU:DEC_PFCS,0.0
6000,PFLO:INC_HEALTHIER_DIETS,Singleton - Default Value - PFLO: Change diets,,TX:PFLO:INC_HEALTHIER_DIETS,0.0
6001,PFLO:INC_IND_CCS,Singleton - Default Value - PFLO: Industrial carbon capture and sequestration,,TX:PFLO:INC_IND_CCS,0.0
6002,PFLO:ALL,All Actions,All actions (unique by transformer),TX:AGRC:DEC_CH4_RICE|TX:AGRC:DEC_EXPORTS|TX:AGRC:DEC_LOSSES_SUPPLY_CHAIN|TX:AGRC:INC_CONSERVATION_AGRICULTURE|TX:AGRC:INC_PRODUCTIVITY|TX:CCSQ:INC_CAPTURE|TX:ENFU:ADJ_EXPORTS|TX:ENTC:DEC_LOSSES|TX:ENTC:LEAST_COST_SOLUTION|TX:ENTC:TARGET_CLEAN_HYDROGEN|TX:ENTC:TARGET_RENEWABLE_ELEC|TX:FGTV:DEC_LEAKS|TX:FGTV:INC_FLARE|TX:FRST:INCREASE_SEQUESTRATION|TX:INEN:INC_EFFICIENCY_ENERGY|TX:INEN:INC_EFFICIENCY_PRODUCTION|TX:INEN:SHIFT_FUEL_HEAT|TX:IPPU:DEC_CLINKER|TX:IPPU:DEC_DEMAND|TX:IPPU:DEC_HFCS|TX:IPPU:DEC_N2O|TX:IPPU:DEC_OTHER_FCS|TX:IPPU:DEC_PFCS|TX:LNDU:BOUND_CLASSES|TX:LNDU:DEC_CLASS_LOSS|TX:LNDU:DEC_DEFORESTATION|TX:LNDU:DEC_SOC_LOSS_PASTURES|TX:LNDU:INC_REFORESTATION|TX:LNDU:INC_SILVOPASTURE|TX:LNDU:PLUR|TX:LSMM:INC_CAPTURE_BIOGAS|TX:LSMM:INC_MANAGEMENT_CATTLE_PIGS|TX:LSMM:INC_MANAGEMENT_OTHER|TX:LSMM:INC_MANAGEMENT_POULTRY|TX:LVST:DEC_ENTERIC_FERMENTATION|TX:LVST:DEC_EXPORTS|TX:LVST:INC_PRODUCTIVITY|TX:PFLO:INC_HEALTHIER_DIETS|TX:PFLO:INC_IND_CCS|TX:SCOE:DEC_DEMAND_HEAT|TX:SCOE:INC_EFFICIENCY_APPLIANCE|TX:SCOE:INC_EFFICIENCY_HEAT|TX:SCOE:SHIFT_FUEL_HEAT|TX:SOIL:DEC_LIME_APPLIED|TX:SOIL:DEC_N_APPLIED|TX:TRDE:DEC_DEMAND|TX:TRNS:INC_EFFICIENCY_ELECTRIC|TX:TRNS:INC_EFFICIENCY_NON_ELECTRIC|TX:TRNS:INC_OCCUPANCY_LIGHT_DUTY|TX:TRNS:SHIFT_FUEL_LIGHT_DUTY|TX:TRNS:SHIFT_FUEL_MARITIME|TX:TRNS:SHIFT_FUEL_MEDIUM_DUTY|TX:TRNS:SHIFT_FUEL_RAIL|TX:TRNS:SHIFT_MODE_FREIGHT|TX:TRNS:SHIFT_MODE_PASSENGER|TX:TRNS:SHIFT_MODE_REGIONAL|TX:TRWW:INC_CAPTURE_BIOGAS|TX:TRWW:INC_COMPLIANCE_SEPTIC|TX:WALI:INC_TREATMENT_INDUSTRIAL|TX:WALI:INC_TREATMENT_RURAL|TX:WALI:INC_TREATMENT_URBAN|TX:WASO:DEC_CONSUMER_FOOD_WASTE|TX:WASO:INC_ANAEROBIC_AND_COMPOST|TX:WASO:INC_CAPTURE_BIOGAS|TX:WASO:INC_ENERGY_FROM_BIOGAS|TX:WASO:INC_ENERGY_FROM_INCINERATION|TX:WASO:INC_LANDFILLING|TX:WASO:INC_RECYCLING,0.0
6003,PFLO:NDC,NDC,NDC,TX:TRNS:SHIFT_FUEL_RAIL_STRATEGY_NDC|TX:LSMM:INC_MANAGEMENT_POULTRY_STRATEGY_NDC|TX:ENTC:TARGET_RENEWABLE_ELEC_STRATEGY_NDC|TX:LSMM:INC_CAPTURE_BIOGAS_STRATEGY_NDC|TX:ENFU:ADJ_EXPORTS_STRATEGY_NDC|TX:FGTV:DEC_LEAKS_STRATEGY_NDC|TX:SCOE:DEC_DEMAND_HEAT_STRATEGY_NDC|TX:LSMM:INC_MANAGEMENT_OTHER_STRATEGY_NDC|TX:FGTV:INC_FLARE_STRATEGY_NDC|TX:TRNS:SHIFT_FUEL_LIGHT_DUTY_STRATEGY_NDC|TX:LVST:DEC_EXPORTS_STRATEGY_NDC|TX:LSMM:INC_MANAGEMENT_CATTLE_PIGS_STRATEGY_NDC|TX:SCOE:SHIFT_FUEL_HEAT_STRATEGY_NDC|TX:TRNS:SHIFT_FUEL_MARITIME_STRATEGY_NDC|TX:LVST:INC_PRODUCTIVITY_STRATEGY_NDC|TX:TRNS:SHIFT_FUEL_MEDIUM_DUTY_STRATEGY_NDC|TX:LVST:DEC_ENTERIC_FERMENTATION_STRATEGY_NDC,0.0
