transformation_code,subsector,transformation_name,transformation_yaml_name,transformation_description,magnitude_base,magnitude_strategy_NDC,magnitude_strategy_LEP,magnitude_strategy_Conditional
TX:AGRC:DEC_CH4_RICE,AGRC,Improve rice management,transformation_agrc_dec_ch4_rice.yaml,"Many practices can reduce emissions associated with growing rice, including improved water management, fertilizer practices, tillage practices, rice variety choices, residue management, and seeding practices. This transformation represents a percentage reduction in the rice CH4 emission factor.",0.45,,,
TX:AGRC:DEC_EXPORTS,AGRC,Decrease Exports,transformation_agrc_dec_exports.yaml,Decrease agricultural exports by some percentage (default 50%) by final time period. ,0.5,,,
TX:AGRC:DEC_LOSSES_SUPPLY_CHAIN,AGRC,Reduce supply chain losses,transformation_agrc_dec_losses_supply_chain.yaml,"Reduce waste food waste in the agricultural (crop) supply chain (pre-consumer). This transformation reduces the baseline loss, which reduces the demand for crops produced in the region. ",0.3,,,
TX:AGRC:INC_CONSERVATION_AGRICULTURE,AGRC,Expand conservation agriculture,transformation_agrc_inc_conservation_agriculture.yaml,"Conservation agriculture is the term given to agricultural practices that seek to preserve soil and ecosystem health. FAO describes three inter-related practices: minimum tilling, maintaining permanent soil cover, and diversifying plant species. In SISEPUEDE, this transformation increases the fraction of crops that are no-till while also increasing crop residues that are left on the field. ","{'dict_categories_to_magnitude': None, 'magnitude_burned': 0.0, 'magnitude_removed': 0.5, 'return_dict_magnitude': False}",,,
TX:AGRC:INC_PRODUCTIVITY,AGRC,Improve crop productivity,transformation_agrc_inc_productivity.yaml,Apply a fractional increase to crop yield factors per ha. ,0.2,,,
TX:CCSQ:INC_CAPTURE,CCSQ,Increase direct air capture,transformation_ccsq_inc_capture.yaml,Increase Direct Air Capture deployment to 50 MT CO2e by 2050. ,50,,,
TX:ENTC:DEC_LOSSES,ENTC,Reduce transmission losses,transformation_entc_dec_losses.yaml,"Decrease transmission losses by upgrading electrical transmission infrastructure. This transformation sets a target maximum grid transmission loss by 2050. The transformation only reduces transmission loss; if a region has a lower transmission loss, it will remain. The average grid transmission loss is used to estimate production demands for electricity.",0.06,0.018,0.003,0.09
TX:ENTC:TARGET_CLEAN_HYDROGEN,ENTC,Clean hydrogen,transformation_entc_target_clean_hydrogen.yaml,"Set a target fraction of hydrogen production that comes from green hydrogen, or electrolysis. ",0.95,,,
TX:ENTC:TARGET_RENEWABLE_ELEC,ENTC,95% of electricity is generated by renewables in 2050,transformation_entc_target_renewable_elec.yaml,"Set a target for production of electricity from renewable sources (can be defined by user), which, by default, can include geothermal, hydropower, ocean, solar, and tidal. Includes minimum targets for specific renewable energy technologies, such as solar, wind, and geothermal.",0.95,0.285,0.2,0.8
TX:FGTV:DEC_LEAKS,FGTV,Minimize leaks,transformation_fgtv_dec_leaks.yaml,"Reduces the CH4 emission factor from the production, distribution, and transmission of fuels in coal, natural gas, and oil production. ",0.8,0.12,0.04000000000000001,0.5599999999999999
TX:FGTV:INC_FLARE,FGTV,Maximize flaring,transformation_fgtv_inc_flare.yaml,"Increases flaring at orphan wells and mining facilities that vent methane. Flaring converts CH4 to CO2, a much less potent greenhouse gas.",0.8,0.12,0.04000000000000001,0.5599999999999999
TX:INEN:INC_EFFICIENCY_ENERGY,INEN,Maximize industrial energy efficiency,transformation_inen_inc_efficiency_energy.yaml,Industrial energy demands are driven by both production demands and efficiency. This transformation increases the average efficiency of industrial production processes (by fuel) to reduce energy demands.,0.3,0.09,0.03,0.36
TX:INEN:INC_EFFICIENCY_PRODUCTION,INEN,Maximize industrial production efficiency,transformation_inen_inc_efficiency_production.yaml,Industrial energy demands are driven by both production demands and efficiency. This transformation reduces the end-use energy demand through changes in production processes.,0.4,0.12,0.04000000000000001,0.4
TX:INEN:SHIFT_FUEL_HEAT,INEN,Fuel switch high- and low-temp thermal processes. ,transformation_inen_shift_fuel_heat.yaml,"Fuel switch industrial low and high heat processes to target fuels. By default, low heat is electrified, while fuels for high heat are partially electrified and partially replaced with hydrogen. Transformations for both (and/or) low and high-heat should be implemented using this transformer. ","{'frac_high_given_high': None, 'frac_switchable': 0.9}","{'frac_high_given_high': None, 'frac_switchable': 0.9}","{'frac_high_given_high': None, 'frac_switchable': 0.9}","{'frac_high_given_high': {'cement': 0.9, 'chemicals': 0.5, 'glass': 0.88, 'lime_and_carbonite': 0.88, 'metals': 0.92}, 'frac_switchable': 0.9}"
TX:IPPU:DEC_CLINKER,IPPU,Reduce cement clinker,transformation_ippu_dec_clinker.yaml,"Reduces use of clinker in cement production in favor of other processes, such as the use of supplementary cementitious materials (SCMs), producing limestone calcined clay cement (LC3), or other processes.",0.5,0.15,0.05,0.05
TX:IPPU:DEC_DEMAND,IPPU,Demand management,transformation_ippu_dec_demand.yaml,Reduce industrial production. Can be industry specific. ,0.3,,,0.15
TX:IPPU:DEC_HFCS,IPPU,Reduce use of HFCs,transformation_ippu_dec_hfcs.yaml,"Reduce IPPU emission factors associated with gasses classified as hydrofluorocarbons (HFCs), which are the byproduct of some industrial processes.",0.1,0.03,0.010000000000000002,0.1
TX:IPPU:DEC_N2O,IPPU,Reduce Nitrous Oxide emissions,transformation_ippu_dec_n2o.yaml,"Reduce IPPU emission factors associated with N2O, which is the byproduct of some industrial processes.",0.1,,,0.05
TX:IPPU:DEC_OTHER_FCS,IPPU,Reduce other fluorinated compounds,transformation_ippu_dec_other_fcs.yaml,"Reduce IPPU emission factors associated with gasses classified as other fluorinated compounds, which are the byproduct of some industrial processes; includes SF6, NF3, HCFCs, and others.",0.1,,,0.05
TX:IPPU:DEC_PFCS,IPPU,Reduce use of PFCs,transformation_ippu_dec_pfcs.yaml,"Reduce IPPU emission factors associated with gasses classified as perfluorinated carbons (PFCs), which are the byproduct of some industrial processes.",0.1,,,0.05
TX:LNDU:DEC_DEFORESTATION,LNDU,Stop deforestation,transformation_lndu_dec_deforestation.yaml,Halt deforestation of primary and secondary forests; sets the transition probabilities out of these land use classes to near 0.,0.99999,,,
TX:LNDU:DEC_SOC_LOSS_PASTURES,LNDU,Expand sustainable grazing practices,transformation_lndu_dec_soc_loss_pastures.yaml,Decrease soil organic carbon loss in grasslands through sustainable grazing practices. Increases fraction of pastures using a land use management factor with higher carbon sequestration. ,0.95,,,
TX:LNDU:INC_REFORESTATION,LNDU,Increase Reforestation,transformation_lndu_inc_reforestation.yaml,Increases probability of input land use classes being converted to secondary forest. The percentage entered represents the desired fractional increase in the area of forest due to reforestation.,0.2,0.06,0.020000000000000004,0.2
TX:LNDU:INC_SILVOPASTURE,LNDU,Expand silvopasture,transformation_lndu_inc_silvopasture.yaml,"Increase the use of silvopasture; modeled by shifting 30% of pasture (in final time period) to secondary forests over time; livestock carrying capacities increase to meet the change, while pasture fractions of grassland decrease.",0.1,,,
TX:LSMM:INC_CAPTURE_BIOGAS,LSMM,Increase biogas capture at anaerobic decomposition facilities,transformation_lsmm_inc_capture_biogas.yaml,Increase the fraction of biogas that is captured at manure treated at anaerobic livestock manure treatment facilities,0.9,,,0.36000000000000004
TX:LSMM:INC_MANAGEMENT_CATTLE_PIGS,LSMM,Improve manure management for cattle and pigs,transformation_lsmm_inc_management_cattle_pigs.yaml," | 95% of manure from cattle (dairy and non-dairy) and pigs is treated. Under default conditions, the manure treated is sent to the following pathways:
 |    37.5% to Anaerobic Digestion
 |    12.5% to Composting
 |    25.0% to Daily Spread
 |    12.5% to Deep Bedding
 |    12.5% to Solid Storage","{'dict_lsmm_pathways': None, 'vec_cats_lvst': None}","{'dict_lsmm_pathways': None, 'vec_cats_lvst': None}","{'dict_lsmm_pathways': None, 'vec_cats_lvst': None}","{'dict_lsmm_pathways': None, 'vec_cats_lvst': None}"
TX:LSMM:INC_MANAGEMENT_OTHER,LSMM,Improve manure management for other animals,transformation_lsmm_inc_management_other.yaml," | 95% of manure from all other (sheep, goats, horses, buffalo) animals is treated. The manure treated is sent to the following pathways:
 |    37.5.% to Composting
 |    12.5% to Dry Lot
 |    25.0% to Daily Spread
 |    25.0% to Solid Storage","{'dict_lsmm_pathways': None, 'vec_cats_lvst': None}",,,
TX:LSMM:INC_MANAGEMENT_POULTRY,LSMM,Improve manure management for poultry,transformation_lsmm_inc_management_poultry.yaml," | 95% of manure from poultry (chickens) and pigs is treated. The manure treated is sent to the following pathways:_x000D_
 |    100% to Poultry Management","{'dict_lsmm_pathways': None, 'vec_cats_lvst': None}",,,
TX:LVST:DEC_ENTERIC_FERMENTATION,LVST,Reduce enteric fermentation,transformation_lvst_dec_enteric_fermentation.yaml,"Reduce the CH4 enteric fermentation factor (per head of livestock) from ruminant livestock. Several interventions can potentially help achieve this transformation, including feed switching and methagenic vaccines.","{'dict_lvst_reductions': None, 'return_reductions_dict': False}","{'dict_lvst_reductions': None, 'return_reductions_dict': False}","{'dict_lvst_reductions': None, 'return_reductions_dict': False}","{'dict_lvst_reductions': None, 'return_reductions_dict': False}"
TX:LVST:DEC_EXPORTS,LVST,Decrease exports,transformation_lvst_dec_exports.yaml,Decrease expected exports of livestock and livestock products.,0.5,,,
TX:LVST:INC_PRODUCTIVITY,LVST,Increase livestock productivity,transformation_lvst_inc_productivity.yaml,Increase livestock carrying capacity (also known as average land productivity) by some fraction.,0.3,,,
TX:PFLO:INC_HEALTHIER_DIETS,PFLO,Change diets,transformation_pflo_inc_healthier_diets.yaml,"Reduces the average per-person demand for cattle by the fraction specified. Furthermore, allows for changes to certain crop demands, such as sugarcane.",0.5,,,
TX:PFLO:INC_IND_CCS,PFLO,Industrial carbon capture and sequestration,transformation_pflo_inc_ind_ccs.yaml,Increase carbon capture and sequestration in industry (excluding energy production industry). Defaults to an 80% prevalence with 90% efficacy (all can be modified). ,"{'dict_magnitude_eff': 0.9, 'dict_magnitude_prev': None}",,,
TX:SCOE:DEC_DEMAND_HEAT,SCOE,Reduce end-use demand for heat energy by improving building shell,transformation_scoe_dec_demand_heat.yaml,"Reduce end-use demand for heat energy by improving building shell--can include interventions such as retrofitting, smart thermostats, and more. ",0.5,0.1,0.05,0.6
TX:SCOE:INC_EFFICIENCY_APPLIANCE,SCOE,Increase appliance efficiency,transformation_scoe_inc_efficiency_appliance.yaml,Reduce demand for electricity in buildings by increasing the efficiency of electrified building energy.,0.5,0.15,0.05,0.5
TX:SCOE:SHIFT_FUEL_HEAT,SCOE,"Switch to electricity for heat using heat pumps, electric stoves, etc.",transformation_scoe_shift_fuel_heat.yaml,"Heating energy in buildings can be electrified; for example, heating can be performed using heat pumps and cooking can be electrified.",0.95,0.19,0.095,0.95
TX:SOIL:DEC_LIME_APPLIED,SOIL,Improve lime application,transformation_soil_dec_lime_applied.yaml,Decrease lime applied to soils (default 5%),0.2,,,
TX:SOIL:DEC_N_APPLIED,SOIL,Improve fertilizer application,transformation_soil_dec_n_applied.yaml,Decrease total nitrogen applied through more precise fertilizer use (default 5%) without decreasing yields,0.2,0.06,0.020000000000000004,0.1
TX:TRDE:DEC_DEMAND,TRDE,Reduce demand for transport,transformation_trde_dec_demand.yaml,Demand for public and private transportation can be reduced through mechanisms like urban planning or congestion pricing. ,0.25,0.075,0.025,0.375
TX:TRNS:INC_EFFICIENCY_ELECTRIC,TRNS,Increase electric transportation energy efficiency,transformation_trns_inc_efficiency_electric.yaml,Vehicle efficiency can be improved over time through regulation and technological investment. This transformation increases the efficiency of electric vehicles  and is specified as a fractional increase in the efficiency against the final time period. ,0.25,0.075,0.025,0.375
TX:TRNS:INC_EFFICIENCY_NON_ELECTRIC,TRNS,Increase non-electric transportation energy efficiency,transformation_trns_inc_efficiency_non_electric.yaml,Vehicle efficiency can be improved over time through regulation and technological investment. This transformation increases the efficiency of non-electric vehicles (including fossil-fuel ICEs and other fuel sources) and is specified as a fractional increase in the efficiency against the final time period. ,0.25,,0.0125,0.375
TX:TRNS:INC_OCCUPANCY_LIGHT_DUTY,TRNS,Increase occupancy for private vehicles,transformation_trns_inc_occupancy_light_duty.yaml,The occupancy rate of private vehicles can be increased through mechanisms like implementing carpool lanes or incentive programs for carpooling. This transformation is specified as a fractional increase in the average occupancy rate of private vehicles.  ,0.25,,,
TX:TRNS:SHIFT_FUEL_LIGHT_DUTY,TRNS,Electrify light duty road transport,transformation_trns_shift_fuel_light_duty.yaml,"Light-duty transportation (including private cars and trucks, `road_light` category) can be electrified. This transformation allows for the specification of a target fraction of light duty vehicles fueled by electricity. Baseline are shifted out proportionally to their baseline prevalence. ",0.7,0.13999999999999999,0.06999999999999999,0.5599999999999999
TX:TRNS:SHIFT_FUEL_MARITIME,TRNS,Fuel switch maritime,transformation_trns_shift_fuel_maritime.yaml,Maritime transportation (including boats and ships) can be shifted away from fossil fuels. This transformation allows for the specification of a target fraction of maritime transportation demand that is shifted to hydrogen; the rest is electrified (note that this can be adjusted). Baseline are shifted out proportionally to their baseline prevalence. ,0.7,,,
TX:TRNS:SHIFT_FUEL_MEDIUM_DUTY,TRNS,Fuel switch medium duty road transport,transformation_trns_shift_fuel_medium_duty.yaml,"Medium-duty transportation (including `road_heavy_freight`, `road_heavy_regional`, and `public` categories) can be shifted away from fossil fuels. This transformation allows for the specification of a target fraction of medium duty vehicles fueled by electricity; the rest are shifted to hydrogen (note that this can be adjusted). Baseline are shifted out proportionally to their baseline prevalence. ",0.7,0.13999999999999999,0.06999999999999999,0.21
TX:TRNS:SHIFT_FUEL_RAIL,TRNS,Electrify rail,transformation_trns_shift_fuel_rail.yaml,Rail (including `rail_freight` and `rail_passenger` categories) can be electrified. This transformation allows for the specification of a target fraction of rail fueled by electricity. Baseline are shifted out proportionally to their baseline prevalence. ,0.25,,,
TX:TRNS:SHIFT_MODE_FREIGHT,TRNS,Mode shift freight,transformation_trns_shift_mode_freight.yaml,"The modes by which freight is transported can be shifted. This transformation allows for the transportation that meets freight demand to be rearranged. By default, shifts 20% of aviation and road freight demand to freight rail.",0.2,,,
TX:TRNS:SHIFT_MODE_PASSENGER,TRNS,Mode shift passenger vehicles to others,transformation_trns_shift_mode_passenger.yaml,"The modes by which passengers are transported can be shifted. This transformation allows for the transportation that meets day-to-day demand to be rearranged. By default, shifts 30% (X) of passenger road demand to human powered (17% of X), powered bikes (33%), and public (50%).",0.3,0.09,0.03,0.3
TX:TRNS:SHIFT_MODE_REGIONAL,TRNS,Mode shift regional passenger travel,transformation_trns_shift_mode_regional.yaml,"The modes by which regional transportation demands are met can be shifted. This transformation allows for the transportation that meets regional passenger demand to be rearranged. By default, shifts 10% of passenger aviation and 20% of light-duty road demand to heavy-duty road transport.","{'dict_categories_out': {'aviation': 0.1, 'road_light': 0.2}, 'dict_categories_target': None}",,,
TX:TRWW:INC_CAPTURE_BIOGAS,TRWW,Increase biogas capture,transformation_trww_inc_capture_biogas.yaml,Increases capture of biogas at secondary and tertiary anaerobic wastewater treatment facilities. ,0.85,0.17,0.085,0.425
TX:TRWW:INC_COMPLIANCE_SEPTIC,TRWW,Increase septic compliance,transformation_trww_inc_compliance_septic.yaml,"Septic tanks help reduce emissions and improve health outcomes in rural areas. However, compliance in pumping schedule and maintenance are required to maintain full  benefits. This transformation increases the compliance of septic tanks.",0.9,,,0.18000000000000002
TX:WALI:INC_TREATMENT_INDUSTRIAL,WALI,Improved industrial wastewater treatment,transformation_wali_inc_treatment_industrial.yaml,"Industrial wastewater treatment is shifted so that a minimum of 80% is treated in advanced anaerobic facilities, 10% is in secondary anaerobic facilities, and 10% is in secondary aerobic facilities.",,,,
TX:WALI:INC_TREATMENT_RURAL,WALI,Improved rural wastewater treatment,transformation_wali_inc_treatment_rural.yaml,Rural wastewater treatment is shifted so that 100% of rural wastewater is treated in septic tanks. ,,,,
TX:WALI:INC_TREATMENT_URBAN,WALI,Improved urban wastewater treatment,transformation_wali_inc_treatment_urban.yaml,"Industrial wastewater treatment is shifted so that a minimum of 30% is treated in advanced anaerobic facilities, 30% is treated in advanced aerobic facilities, 20% is in secondary anaerobic facilities, and 20% is in secondary aerobic facilities.",,,,
TX:WASO:DEC_CONSUMER_FOOD_WASTE,WASO,Consumer food waste reduction,transformation_waso_dec_consumer_food_waste.yaml,Reduce the amount of food waste generated per capita.,0.3,0.09,0.03,0.09
TX:WASO:INC_ANAEROBIC_AND_COMPOST,WASO,Increase composting and biogas,transformation_waso_inc_anaerobic_and_compost.yaml,"Increase the fraction of yard, food, and sludge waste that is treated by anaerobic digesters or compost. Defaults to 47.5% in anaerobic digestion facilities and 47.5% in compost facilities.","{'magnitude_biogas': 0.475, 'magnitude_compost': 0.475}","{'magnitude_biogas': 0.475, 'magnitude_compost': 0.475}","{'magnitude_biogas': 0.475, 'magnitude_compost': 0.475}","{'magnitude_biogas': 0.475, 'magnitude_compost': 0.475}"
TX:WASO:INC_CAPTURE_BIOGAS,WASO,Increase biogas capture,transformation_waso_inc_capture_biogas.yaml,Increase fraction of biogas captured from landfills and anaerobic digesters,0.85,0.17,0.085,0.17
TX:WASO:INC_ENERGY_FROM_BIOGAS,WASO,Biogas for energy production,transformation_waso_inc_energy_from_biogas.yaml,Increase the fraction of biogas that is collected that is used for energy,0.85,0.17,0.085,0.17
TX:WASO:INC_ENERGY_FROM_INCINERATION,WASO,Incineration for energy production,transformation_waso_inc_energy_from_incineration.yaml,Solid waste can be incinerated and used for energy; this transformation specifies the target fraction of solid waste that is incinerated that is used for energy.,0.85,0.17,0.085,0.17
TX:WASO:INC_LANDFILLING,WASO,Increase landfilling,transformation_waso_inc_landfilling.yaml,"Increase fraction of waste that is otherwise not recycled, composted, or digested that is sent to landfills",1.0,,,
TX:WASO:INC_RECYCLING,WASO,Increase recycling,transformation_waso_inc_recycling.yaml,Recycling can reduce emissions by reducing anaerobic decomposition in landfills and reducing the need for virgin production of materials. This transformation increases the fraction of recyclable waste that is recycled.,0.95,,,
TX:ENFU:ADJ_EXPORTS,ENFU,Increase fuel exports,transformation_enfu_adj_exports.yaml,,1.5,,,
